MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,HouseStyle,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,KitchenQual,Functional,FireplaceQu,GarageFinish,GarageQual,GarageCond,PavedDrive,Fence,MSZoning_Other,MSZoning_RL,MSZoning_RM,Street_Grvl,Street_Pave,LotShape_IR,LotShape_Reg,LandContour_accidente,LandContour_peu_accidente,Utilities_AllPub,Utilities_NoSeWa,LotConfig_Corner,LotConfig_Inside,LotConfig_Other,LandSlope_Gtl,LandSlope_mod_sev,Neighborhood_CollgCr,Neighborhood_NAmes,Neighborhood_Other,Condition1_Nocondprox,Condition1_Proxcond,BldgType_1Fam,BldgType_Other,RoofStyle_Gable,RoofStyle_Hip,RoofStyle_Other,Exterior1st_HdBoard,Exterior1st_MetalSd,Exterior1st_Other,Exterior1st_VinylSd,Exterior1st_Wd Sdng,MasVnrType_BrkFace,MasVnrType_NoMasVnr,MasVnrType_Other,Foundation_CBlock,Foundation_Other,Foundation_PConc,CentralAir_N,CentralAir_Y,GarageType_Attchd,GarageType_Detchd,GarageType_Other,SaleType_Other,SaleType_WD,SaleCondition_Normal,SaleCondition_Other,SalePrice
5.0,65.0,8450,7,5,2003,2003,196.0,856,856,854,0,1710,1,0,2,1,1,8,0,2003.0,2,0,61,0,0,0,0,0,2,2008,2.0,4,3,4,3,1,6,1,5,4,8,0,2,3,3,3,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,208500
1.0,80.0,9600,6,8,1976,1976,0.0,1262,1262,0,0,1262,0,1,2,0,1,6,1,1976.0,2,298,0,0,0,0,0,0,5,2007,1.0,3,3,4,3,4,5,1,5,3,8,3,2,3,3,3,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,181500
5.0,68.0,11250,7,5,2001,2002,162.0,920,920,866,0,1786,1,0,2,1,1,6,1,2001.0,2,0,42,0,0,0,0,0,9,2008,2.0,4,3,4,3,2,6,1,5,4,8,3,2,3,3,3,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,223500
6.0,60.0,9550,7,5,1915,1970,0.0,756,961,756,0,1717,1,0,1,0,1,7,1,1998.0,3,0,35,272,0,0,0,0,2,2006,2.0,3,3,3,4,1,5,1,4,4,8,4,1,3,3,3,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,140000
5.0,84.0,14260,8,5,2000,2000,350.0,1145,1145,1053,0,2198,1,0,2,1,1,9,1,2000.0,3,192,84,0,0,0,0,0,12,2008,2.0,4,3,4,3,3,6,1,5,4,8,3,2,3,3,3,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,250000
4.0,85.0,14115,5,5,1993,1995,0.0,796,796,566,0,1362,1,0,1,1,1,5,0,1993.0,2,40,30,0,320,0,0,700,10,2009,1.5,3,3,4,3,1,6,1,5,3,8,0,1,3,3,3,3,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,143000
1.0,75.0,10084,8,5,2004,2005,186.0,1686,1694,0,0,1694,1,0,2,0,1,7,1,2004.0,2,255,57,0,0,0,0,0,8,2007,1.0,4,3,5,3,3,6,1,5,4,8,4,2,3,3,3,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,307000
5.0,69.0,10382,7,6,1973,1973,240.0,1107,1107,983,0,2090,1,0,2,1,1,7,2,1973.0,2,235,204,228,0,0,0,350,11,2009,2.0,3,3,4,3,2,5,4,5,3,8,3,2,3,3,3,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,200000
4.0,51.0,6120,7,5,1931,1950,0.0,952,1022,752,0,1774,0,0,2,0,2,8,2,1931.0,2,90,0,205,0,0,0,0,4,2008,1.5,3,3,3,3,1,1,1,4,3,7,3,1,2,3,3,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,129900
13.0,50.0,7420,5,6,1939,1950,0.0,991,1077,0,0,1077,1,0,1,0,2,5,2,1939.0,1,0,4,0,0,0,0,0,1,2008,1.25,3,3,3,3,1,6,1,5,3,8,3,2,4,3,3,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,118000
1.0,70.0,11200,5,5,1965,1965,0.0,1040,1040,0,0,1040,1,0,1,0,1,5,0,1965.0,1,0,0,0,0,0,0,0,2,2008,1.0,3,3,3,3,1,3,1,5,3,8,0,1,3,3,3,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,129500
5.0,85.0,11924,9,5,2005,2006,286.0,1175,1182,1142,0,2324,1,0,3,0,1,11,2,2005.0,3,147,21,0,0,0,0,0,7,2006,2.0,5,3,5,3,1,6,1,5,5,8,4,3,3,3,3,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,345000
1.0,69.0,12968,5,6,1962,1962,0.0,912,912,0,0,912,1,0,1,0,1,4,0,1962.0,1,140,0,0,0,176,0,0,9,2008,1.0,3,3,3,3,1,5,1,3,3,8,0,1,3,3,3,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,144000
