MSSubClass,LotFrontage,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,TotRmsAbvGrd,Fireplaces,GarageCars,OpenPorchSF,HouseStyle,ExterQual,BsmtQual,BsmtExposure,BsmtFinType1,HeatingQC,KitchenQual,FireplaceQu,GarageFinish,GarageQual,GarageCond,MSZoning_RL,MSZoning_RM,LotShape_IR,LotShape_Reg,Neighborhood_NAmes,Exterior1st_VinylSd,MasVnrType_Other,Foundation_CBlock,Foundation_Other,Foundation_PConc,CentralAir_N,CentralAir_Y,GarageType_Attchd,GarageType_Detchd,SalePrice
5.0,65.0,7,5,2003,2003,856,854,1710,2,1,8,0,2,61,2.0,4,4,1,6,5,4,0,2,3,3,1,0,0,1,0,1,0,0,0,1,0,1,1,0,208500
1.0,80.0,6,8,1976,1976,1262,0,1262,2,0,6,1,2,0,1.0,3,4,4,5,5,3,3,2,3,3,1,0,0,1,0,0,0,1,0,0,0,1,1,0,181500
5.0,68.0,7,5,2001,2002,920,866,1786,2,1,6,1,2,42,2.0,4,4,2,6,5,4,3,2,3,3,1,0,1,0,0,1,0,0,0,1,0,1,1,0,223500
6.0,60.0,7,5,1915,1970,756,756,1717,1,0,7,1,3,35,2.0,3,3,1,5,4,4,4,1,3,3,1,0,1,0,0,0,0,0,1,0,0,1,0,1,140000
5.0,84.0,8,5,2000,2000,1145,1053,2198,2,1,9,1,3,84,2.0,4,4,3,6,5,4,3,2,3,3,1,0,1,0,0,1,0,0,0,1,0,1,1,0,250000
4.0,85.0,5,5,1993,1995,796,566,1362,1,1,5,0,2,30,1.5,3,4,1,6,5,3,0,1,3,3,1,0,1,0,0,1,0,0,1,0,0,1,1,0,143000
1.0,75.0,8,5,2004,2005,1686,0,1694,2,0,7,1,2,57,1.0,4,5,3,6,5,4,4,2,3,3,1,0,0,1,0,1,1,0,0,1,0,1,1,0,307000
5.0,69.0,7,6,1973,1973,1107,983,2090,2,1,7,2,2,204,2.0,3,4,2,5,5,3,3,2,3,3,1,0,1,0,0,0,1,1,0,0,0,1,1,0,200000
4.0,51.0,7,5,1931,1950,952,752,1774,2,0,8,2,2,0,1.5,3,3,1,1,4,3,3,1,2,3,0,1,0,1,0,0,0,0,1,0,0,1,0,1,129900
13.0,50.0,5,6,1939,1950,991,0,1077,1,0,5,2,1,4,1.25,3,3,1,6,5,3,3,2,4,3,1,0,0,1,0,0,0,0,1,0,0,1,1,0,118000
1.0,70.0,5,5,1965,1965,1040,0,1040,1,0,5,0,1,0,1.0,3,3,1,3,5,3,0,1,3,3,1,0,0,1,0,0,0,1,0,0,0,1,0,1,129500
5.0,85.0,9,5,2005,2006,1175,1142,2324,3,0,11,2,3,21,2.0,5,5,1,6,5,5,4,3,3,3,1,0,1,0,0,0,1,0,0,1,0,1,0,0,345000
1.0,69.0,5,6,1962,1962,912,0,912,1,0,4,0,1,0,1.0,3,3,1,5,3,3,0,1,3,3,1,0,1,0,0,0,0,1,0,0,0,1,0,1,144000
1.0,91.0,7,5,2006,2007,1494,0,1494,2,0,7,1,3,33,1.0,4,4,3,1,5,4,4,2,3,3,1,0,1,0,0,1,1,0,0,1,0,1,1,0,279500
1.0,69.0,6,5,1960,1960,1253,0,1253,1,1,5,1,1,213,1.0,3,3,1,4,3,3,2,2,3,3,1,0,1,0,1,0,0,1,0,0,0,1,1,0,157000
3.5,51.0,7,8,1929,2001,832,0,854,1,0,5,0,2,112,1.25,3,3,1,1,5,3,0,1,3,3,0,1,0,1,0,0,0,0,1,0,0,1,0,1,132000
1.0,69.0,6,7,1970,1970,1004,0,1004,1,0,5,1,2,0,1.0,3,3,1,5,5,3,3,3,3,3,1,0,1,0,1,0,0,1,0,0,0,1,1,0,149000
8.0,72.0,4,5,1967,1967,0,0,1296,2,0,6,0,2,0,1.0,3,0,0,0,3,3,0,1,3,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,90000
1.0,66.0,5,5,2004,2004,1114,0,1114,1,1,6,0,2,102,1.0,3,3,1,6,5,4,0,1,3,3,1,0,0,1,0,1,0,0,0,1,0,1,0,1,159000
1.0,70.0,5,6,1958,1965,1029,0,1339,1,0,6,0,1,0,1.0,3,3,1,2,3,3,0,1,3,3,1,0,0,1,1,0,0,1,0,0,0,1,1,0,139000
5.0,101.0,8,5,2005,2006,1158,1218,2376,3,1,9,1,3,154,2.0,4,5,3,1,5,4,4,2,3,3,1,0,1,0,0,1,0,0,0,1,0,1,0,0,325300
3.5,57.0,7,7,1930,1950,637,0,1108,1,0,6,1,1,0,1.25,3,3,1,1,5,4,4,1,3,3,0,1,0,1,0,0,0,0,0,1,0,1,1,0,139400
1.0,75.0,8,5,2002,2002,1777,0,1795,2,0,7,1,2,159,1.0,4,4,1,1,5,4,4,2,3,3,1,0,0,1,0,1,0,0,0,1,0,1,1,0,230000
9.0,44.0,5,7,1976,1976,1040,0,1060,1,0,6,1,2,110,1.0,3,4,1,6,3,3,3,1,3,3,0,1,0,1,0,0,0,0,0,1,0,1,1,0,129900
1.0,69.0,5,8,1968,2001,1060,0,1060,1,0,6,1,1,90,1.0,3,3,2,3,5,4,3,1,3,3,1,0,1,0,0,0,0,1,0,0,0,1,1,0,154000
1.0,110.0,8,5,2007,2007,1566,0,1600,2,0,7,1,3,56,1.0,4,4,1,1,5,4,4,2,3,3,1,0,0,1,0,1,1,0,0,1,0,1,1,0,256300
1.0,60.0,5,7,1951,2000,900,0,900,1,0,5,0,2,32,1.0,3,3,2,4,3,4,0,1,3,3,1,0,0,1,1,0,0,1,0,0,0,1,0,1,134800
1.0,98.0,8,5,2007,2008,1704,0,1704,2,0,7,1,3,50,1.0,4,5,1,6,5,4,4,2,3,3,1,0,0,1,0,1,1,0,0,1,0,1,1,0,306000
1.0,47.0,5,6,1957,1997,1484,0,1600,1,0,6,2,1,258,1.0,3,3,4,4,3,3,4,2,3,3,1,0,1,0,1,0,0,1,0,0,0,1,1,0,207500
2.0,60.0,4,6,1927,1950,520,0,520,1,0,4,0,1,0,1.0,3,3,1,1,2,2,0,1,2,3,0,1,1,0,0,0,0,0,1,0,1,0,0,1,68500
